StockCode,StockName,Category
6738,鼎恒,30
6764,亞洲教育,20
4559,久裕興,37
5297,廣化,24
6793,天力離岸,20
2760,巨宇翔,16
7764,聖州,20
7788,松川精密,28
6847,普瑞博,22
6892,台寶生醫,22
4773,高福,21
6920,恆勁科技,24
8458,影一,32
7808,訊聯智藥,22
7561,光晟生技,22
6618,永虹先進,21
6927,聯合聚晶,24
6990,華鉬,35
7726,暄達,22
7797,Q Burger,16
6563,映智,24
2733,維格餅家,16
6780,學習王,32
6850,光鼎生技,22
5863,瑞興銀,17
7846,德揚,35
3485,敘豐,26
6583,友松,32
6555,榮炭,28
6705,振躍精密,05
6474,華豫寧,29
6639,源大環能,23
3158,嘉實,30
6434,達輝光電,26
1293,利統,02
6864,元樟生技,22
4431,敏成健康,20
7773,富禾生醫,22
7796,擷發科,24
7792,安葆,31
6536,碩豐,30
3595,山太士,26
7837,啟新生,22
7752,世紀樺欣,35
2750,桃禧,16
2938,床的世界,38
2940,歐都納,37
4925,智微,24
7785,北祥科服,36
3184,微邦,22
6814,路迦生醫,22
6272,驊陞,28
7706,宏碁創達,20
3628,盈正,31
6174,安碁,28
1815,富喬,28
8089,康全電訊,27
5299,杰力,24
6231,系微,30
2035,唐榮,10
6114,久威,28
3362,先進光,26
6578,達邦蛋白,33
3081,聯亞,27
6199,天品,20
3548,兆利,28
6130,上亞科技,22
6804,明係,37
5604,中連,20
6160,欣技,25
3540,曜越,25
2061,風青,06
4530,宏易,16
6811,宏碁資訊,36
6499,益安,22
6785,昱展新藥,22
3556,禾瑞亞,24
6904,伯鑫,20
5488,松普,28
3325,旭品,25
6161,捷波,25
2066,世德,05
3685,元創精密,05
2596,綠意,14
3293,鈊象,32
4503,金雨,05
6881,潤德,20
3512,皇龍,14
6846,綠茵,02
8905,裕國,20
3354,律勝,28
6264,富裔,14
5425,台半,24
7556,意德士,24
8096,擎亞,29
2230,泰茂,05
6023,元大期,17
3178,公準,24
5201,凱衛,30
3372,典範,24
3521,鴻翊,14
6612,奈米醫材,22
3558,神準,27
3297,杭特,26
8455,大拓-KY,31
6246,臺龍,26
6649,台生材,22
3687,歐買尬,36
8432,東生華,22
5213,亞昕,14
3630,新鉅科,26
5464,霖宏,28
5245,智晶,26
4950,金耘國際,10
5236,凌陽創新,24
8088,品安,24
8446,華研,32
1784,訊聯,22
4726,永昕,22
4923,力士,24
6843,進典,05
4138,曜亞,22
3707,漢磊,24
1268,漢來美食,16
5493,三聯,31
4743,合一,22
3426,台興,05
4207,環泰,02
8410,森田,25
7708,全家餐飲,16
3631,晟楠,28
3152,璟德,27
3313,斐成,20
8032,光菱,29
6577,勁豐,25
3379,彬台,05
8092,建暐,31
4402,郡都開發,04
4162,智擎,22
5344,立衛,24
3373,熱映,31
4558,寶緯,05
6593,台灣銘板,30
6570,維田,25
5263,智崴,32
8409,商之器,22
3213,茂訊,25
8240,華宏,26
4905,台聯電,27
3118,進階,22
4175,杏一,22
3672,康聯訊,27
9949,琉園,32
6874,倍力,30
4907,富宇,14
6546,正基,27
8091,翔名,24
5704,老爺知,16
4430,耀億,20
5345,天揚,20
4741,泓瀚,21
6203,海韻電,28
5548,安倉,14
3226,龍鋒,05
7703,銳澤,31
3580,友威科,31
8383,千附,24
3594,磐儀,25
6465,威潤,27
