排 行, 股票代號, 股票名稱, 成交張數
"194","6173","信昌電陶","206,925"
"195","6218","豪勉科技","205,356"
"196","8121","越峰電子","203,767"
"197","5340","建榮工業","203,354"
"198","3379","彬台","202,796"
"199","4402","福大材料","202,363"
"200","3228","金麗科","201,730"
"201","4903","聯光通信","197,169"
"202","6229","研通科技","197,124"
"203","3284","太普高","193,462"
"204","6161","捷波資訊","192,581"
"205","6167","久正光電","191,583"
"206","4174","浩鼎","191,359"
"207","8092","建暐精密","191,154"
"208","3088","艾訊","189,618"
"209","6111","大宇資訊","188,712"
"210","6578","達邦蛋白","186,967"
"211","3594","磐儀","185,706"
"212","3230","錦明實業","184,605"
"213","6535","順藥","183,562"
"214","4129","聯合骨科","181,563"
"215","4768","晶呈科技","179,440"
"216","6186","新潤興業","177,115"
"217","3479","安勤","177,107"
"218","6609","瀧澤科技","175,945"
"219","3537","堡達","175,362"
"220","3691","碩禾","174,669"
"221","5324","士林開發","174,597"
"222","5474","聰泰科技","172,721"
"223","4162","智擎","172,588"
"224","5432","新門","171,673"
"225","3297","杭特電子","171,566"
"226","3071","協禧電機","170,837"
"227","3131","弘塑科技","169,970"
"228","6584","南俊國際","168,708"
"229","4549","桓達","168,671"
"230","6841","長佳智能","167,583"
"231","6877","鏵友益","166,683"
"232","4707","磐亞","166,649"
"233","6150","撼訊科技","166,259"
"234","5210","寶碩","164,804"
"235","3666","光耀","164,140"
"236","8927","北基國際","163,502"
"237","3551","世禾科技","162,653"
"238","4953","緯軟","161,639"
"239","4563","百德","160,286"
"240","4729","熒茂光學","159,128"
"241","4503","金雨企業","158,978"
"242","6234","高僑","158,933"
"243","3693","營邦","158,735"
"244","2230","泰茂","158,082"
"245","2070","精湛","157,794"
"246","8255","朋程","156,729"
"247","1591","駿吉-KY","156,722"
"248","6509","聚和國際","156,579"
"249","3522","御頂","156,507"
"250","4939","亞電","154,281"
"251","3178","公準","153,123"
"252","5263","智崴","148,898"
"253","6788","華景電","148,313"
"254","8930","青鋼","145,045"
"255","5490","同亨科技","143,523"
"256","3221","台灣嘉碩","141,162"
"257","3290","東浦","140,873"
"258","2061","風青","140,625"
"259","8383","千附實業","138,468"
"260","6151","晉倫科技","137,984"
"261","3624","光頡科技","137,683"
"262","4542","科嶠","137,617"
"263","8155","博智","135,479"
"264","3438","類比科","134,199"
"265","3141","晶宏","133,183"
"266","6264","富裔","132,926"
"267","6589","台康生技","132,010"
"268","6170","統振","131,280"
"269","3083","中華網龍","129,645"
"270","3066","李洲科技","129,439"
"271","2745","五福","129,173"
"272","5530","龍巖","128,629"
"273","6129","普誠科技","127,483"
"274","5511","德昌營造","127,267"
"275","4160","訊聯基因","126,659"
"276","8048","德勝科技","124,681"
"277","6664","群翊","124,575"
"278","3357","臺慶科","124,043"
"279","3169","亞信電子","123,222"
"280","6532","瑞耘","122,062"
"281","3675","德微","121,930"
"282","6679","鈺太","121,190"
"283","5465","富驊企業","120,994"
"284","6593","台灣銘板","120,931"
"285","5236","凌陽創新","120,861"
"286","3213","茂訊電腦","119,991"
"287","5475","德宏工業","119,744"
"288","8099","大世科","119,704"
"289","8068","全達國際","119,566"
"290","3512","皇龍","118,502"
"291","6829","千附精密","117,306"
"292","5289","宜鼎","116,642"
"293","6248","沛波","116,540"
"294","2736","富野","115,675"
"295","5302","太欣半導","115,633"
"296","8044","網路家庭","115,631"
"297","5014","建錩實業","115,574"
"298","5493","三聯科技","114,878"
"299","4760","勤凱","111,599"
"300","6208","日揚科技","111,323"
"301","5355","佳總興業","110,382"
"302","3162","精確","107,980"
"303","3268","海德威","107,736"
"304","5536","聖暉*","105,959"
"305","6712","長聖","105,732"
"306","5478","智冠","105,064"
"307","4933","友輝","103,736"
"308","6785","昱展新藥","102,541"
"309","6640","均華","102,161"
"310","6204","台灣艾華","102,150"
"311","8091","翔名科技","101,320"
"312","3489","森寶","100,965"
"313","6683","雍智科技","100,394"
"314","5529","鉅陞","100,334"
"315","8107","大億金茂","99,981"
"316","8932","智通","99,963"
"317","4945","陞達科技","99,206"
"318","4105","東洋藥品","97,910"
"319","8933","愛地雅","96,600"
"320","5011","久陽精密","96,388"
"321","6276","安鈦克","95,759"
"322","6146","耕興","95,722"
"323","6279","胡連精密","95,486"
"324","3444","利機企業","94,550"
"325","6570","維田","93,632"
"326","8906","花王企業","93,571"
"327","3529","力旺電子","92,127"
"328","3086","華義國際","91,085"
"329","8049","晶采光電","90,957"
"330","2066","世德","90,454"
"331","3687","歐買尬","90,168"
"332","3232","昱捷","89,956"
"333","3499","環天科技","89,038"
"334","3516","亞帝歐","88,508"
"335","5481","新華","88,240"
"336","6134","萬旭電業","87,470"
"337","3276","宇環科技","86,666"
"338","6596","寬宏藝術","85,708"
"339","6263","普萊德","85,012"
"340","6261","久元電子","82,019"
"341","8084","巨虹電子","81,681"
"342","4168","醣聯","81,376"
"343","8436","大江","81,267"
"344","8097","常珵科技","80,348"
"345","3484","崧騰","79,943"
"346","1799","易威","79,172"
"347","5410","國眾電腦","78,963"
"348","4529","淳紳","78,411"
"349","3218","大學光學","78,334"
"350","6492","生華科","77,716"
"351","4420","光明","77,678"
"352","8401","白紗科技","76,110"
"353","6175","立敦科技","76,098"
"354","5609","中菲行","75,149"
"355","5274","信驊","74,759"
"356","6292","迅德興業","73,891"
"357","5356","協益電子","73,598"
"358","3630","新鉅科","73,178"
"359","8354","冠好","72,795"
"360","6411","晶焱","71,914"
"361","4931","新盛力","71,427"
"362","8176","智捷","70,780"
"363","3073","天方能源","70,378"
"364","6732","昇佳電子","69,805"
"365","3171","新洲全球","69,184"
"366","8182","加高電子","68,804"
"367","5603","陸海交通","68,768"
"368","6485","點序","68,246"
"369","6811","宏碁資訊","67,905"
"370","3224","三顧","67,082"
"371","3526","凡甲科技","66,408"
"372","6895","宏碩系統","66,020"
"373","3521","鴻翊","65,972"
"374","8093","保銳科技","65,125"
"375","3492","長盛","64,120"
"376","6735","美達科技","64,029"
"377","8937","合騏","63,991"
"378","5314","世紀民生","63,781"
"379","3558","神準","63,649"
"380","4111","濟生","63,550"
"381","3206","志豐電子","62,196"
"382","3176","基亞","61,272"
"383","4188","安克","61,175"
"384","3323","加百裕","61,154"
"385","8047","星雲電腦","61,018"
"386","5353","台林電通","60,903"
"387","6109","亞元科技","60,644"
"388","6419","京晨科","60,472"
"389","6185","幃翔精密","60,286"
"390","5364","力麗店","59,731"
"391","6124","業強科技","58,926"
"392","6761","穩得","58,888"
"393","6266","泰詠電子","58,801"
"394","4207","環泰企業","58,624"
"395","3373","熱映光電","58,536"
"396","3128","昇銳電子","57,780"
"397","9950","萬國通路","57,654"
"398","6741","91APP*-KY","57,648"
"399","8183","台灣精星","57,591"
"400","8938","明安國際","57,136"
"401","2596","綠意開發","56,864"
"402","3441","聯一光","56,458"
"403","8942","森鉅科技","56,248"
"404","4523","永彰","56,182"
"405","6616","特昇-KY","55,955"
"406","3508","位速","55,654"
"407","5315","光聯科技","55,371"
"408","6517","保勝光學","54,900"
"409","6457","紘康","54,810"
"410","6118","建達國際","53,849"
"411","5523","豐謙","53,481"
"412","1781","合世生醫","53,291"
"413","3609","三一東林","53,248"
"414","4951","精拓科","52,931"
"415","4721","美琪瑪","52,629"
"416","5450","南良","52,625"
"417","4102","永日化工","52,449"
"418","6613","朋億*","52,290"
"419","5398","慕康生醫","52,279"
"420","4556","旭然","51,943"
"421","8349","恒耀","51,286"
"422","8935","邦泰","51,173"
"423","8415","大國鋼","51,088"
"424","5310","天剛資訊","50,808"
"425","4401","東隆興業","50,479"
"426","6435","大中","50,450"
"427","8426","紅木-KY","50,125"
"428","4974","亞泰","48,462"
"429","4744","皇將","48,392"
"430","4121","優盛醫學","48,080"
"431","6486","互動","47,757"
"432","6101","寬魚國際","47,642"
"433","4907","富宇地產","47,371"
"434","6023","元大期","47,090"
"435","6875","國邑*","46,851"
"436","6733","博晟生醫","46,763"
"437","5904","寶雅國際","46,623"
"438","6469","大樹","46,530"
"439","8171","天宇","46,520"
"440","6576","逸達","46,258"
"441","3285","微端","46,091"
"442","6021","美好證","46,061"
"443","6569","醫揚","45,862"
"444","5211","蒙恬科技","45,810"
"445","3434","哲固資訊","45,578"
"446","3552","同致電子","45,312"
"447","8916","光隆","45,249"
"448","5201","凱衛資訊","45,062"
"449","3597","映興","44,914"
"450","4541","晟田","44,896"
"451","3317","尼克森","44,809"
"452","6194","育富電子","44,545"
"453","8446","華研","44,046"
"454","3631","晟楠","43,216"
"455","6577","勁豐","42,908"
"456","3430","奇鈦科","42,710"
"457","6203","海韻電子","42,076"
"458","2732","六角","42,031"
"459","6198","瑞築","41,805"
"460","8403","盛弘","41,659"
"461","3664","安瑞-KY","40,836"
"462","6148","驊宏資通","40,482"
"463","5206","坤悅開發","40,410"
"464","6494","九齊","40,247"
"465","5227","立凱-KY","39,914"
"466","6220","岳豐科技","39,846"
"467","5403","中菲","39,845"
"468","3205","佰研生化","39,820"
"469","8410","森田印刷","39,462"
"470","4747","強生","39,140"
"471","3546","宇峻奧汀","38,990"
"472","8431","匯鑽科","38,738"
"473","6461","益得","38,298"
"474","8489","三貝德","38,034"
"475","4711","永純","37,746"
"476","6692","進能服","37,005"
"477","8087","華鎂鑫","36,989"
"478","5383","金利","36,835"
"479","4153","鈺緯","36,552"
"480","5223","安力-KY","36,245"
"481","3625","西勝","36,052"
"482","6418","詠昇","36,023"
"483","8432","東生華","35,828"
"484","6615","慧智","35,578"
"485","6470","宇智","35,131"
